ENA|VUNM01000021|VUNM01000021.1,0,43741,UniRef50_UPI000F7AA79D,33683,36212	ENA|VUNM01000021|VUNM01000021.1,0,43741,UniRef50_UPI000F7AA79D,33683,36212
ERZ914821.1149,0,25327,UniRef50_A0A0S2HX99,1497,5718	ERZ914821.1149,0,25327,UniRef50_A0A0S2HX99,1497,5718
Ga0370482_0000029,0,34829,UniRef50_A0A2N2YJI8,15470,18107	Ga0370482_0000029,0,34829,UniRef50_A0A2N2YJI8,15470,18107
ERZ941219.6978,0,35785,UniRef50_A0A140GR79,12799,15709	ERZ941219.6978,0,35785,UniRef50_A0A140GR79,12799,15709
ENA|MXAK01000355|MXAK01000355.1,72520,114078,UniRef50_A0A0K6GF30,102367,104638	ENA|MXAK01000355|MXAK01000355.1,72520,114078,UniRef50_A0A0K6GF30,102367,104638
ERZ1029974.8,0,49553,UniRef50_A0A128ECZ8,19134,21819	ERZ1029974.8,0,49553,UniRef50_A0A128ECZ8,19134,21819
ENA|JAABUR0100000409|JAABUR0100000409.1,18891,85011,UniRef50_Q03LF7,53036,56342	ENA|JAABUR0100000409|JAABUR0100000409.1,18891,85011,UniRef50_Q03LF7,53036,56342
ERZ925245.111609,0,42005,UniRef50_A0A140GR79,22259,24593	ERZ925245.111609,0,42005,UniRef50_A0A140GR79,22259,24593
ERZ925245.111609,0,42005,UniRef50_A0A140GR79,22259,24593	ERZ917547.52690,0,37310,UniRef50_A0A140GR79,34418,36752
ERZ914794.160,0,241120,UniRef50_A0A1S1V9T5,235867,237028	ERZ914794.160,0,241120,UniRef50_A0A1S1V9T5,235867,237028
ERZ860039.1,4926,59358,UniRef50_A0A0G3EK96,52832,56201	ERZ860039.1,4926,59358,UniRef50_A0A0G3EK96,52832,56201
ENA-OLNG01000618-OLNG01000618.1-human-gut-metagenome-genome-assembly--contig:-NODE-618-length-27118-cov-3.105458,0,27118,UniRef50_A0A3E2XUE7,4057,8116	ENA-OLNG01000618-OLNG01000618.1-human-gut-metagenome-genome-assembly--contig:-NODE-618-length-27118-cov-3.105458,0,27118,UniRef50_A0A3E2XUE7,4057,8116
ENA|LNCK01000732|LNCK01000732.1,0,51051,UniRef50_A0A0K6GF30,8168,10325	ENA|LNCK01000732|LNCK01000732.1,0,51051,UniRef50_A0A0K6GF30,8168,10325
ERZ914794.4365,0,19036,UniRef50_R6P3Z6,4983,7260	ERZ914794.4365,0,19036,UniRef50_R6P3Z6,4983,7260
NZ_JRAJ01000011.1,38479,92368,UniRef50_A0A140GR79,52153,55060	NZ_JRAJ01000011.1,38479,92368,UniRef50_A0A140GR79,52153,55060
ENA|UPXG01000192|UPXG01000192.1,0,34449,UniRef50_A0A2H6B7F4,2445,4674	ENA|UPXG01000192|UPXG01000192.1,0,34449,UniRef50_A0A2H6B7F4,2445,4674
ERZ942394.18128,0,58352,UniRef50_A0A4P7WDQ6,51774,54162	ERZ942394.18128,0,58352,UniRef50_A0A4P7WDQ6,51774,54162
ENA|UYBM01000924|UYBM01000924.1,0,8168,UniRef50_G9RUL1,1948,4003	ENA|UYBM01000924|UYBM01000924.1,0,8168,UniRef50_G9RUL1,1948,4003
ENA|UYBM01000924|UYBM01000924.1,0,8168,UniRef50_G9RUL1,1948,4003	ERZ836701.530,0,48507,UniRef50_G9RUL1,43048,45121
ENA|UPRR01000862|UPRR01000862.1,0,35481,UniRef50_A0A2H6JTC4,22372,24601	ENA|UPRR01000862|UPRR01000862.1,0,35481,UniRef50_A0A2H6JTC4,22372,24601
ENA|UPRR01000862|UPRR01000862.1,0,35481,UniRef50_A0A2H6JTC4,22372,24601	ERZ650983.192-NODE-192-length-38345-cov-13.286210,0,38345,UniRef50_A0A2H6JTC4,12955,15184
ENA|UPRR01000862|UPRR01000862.1,0,35481,UniRef50_A0A2H6JTC4,22372,24601	ENA-OGFG01000676-OGFG01000676.1-metagenome-genome-assembly--contig:-NODE-676-length-39568-cov-5.430972,0,39568,UniRef50_A0A2H6JTC4,10682,12989
ENA|VCKU01000088|VCKU01000088.1,21771038,21857970,UniRef50_Q73QW6,21808630,21811522	ENA|VCKU01000088|VCKU01000088.1,21771038,21857970,UniRef50_Q73QW6,21808630,21811522
NZ_BBLZ01000002.1,604801,675619,UniRef50_A0A140GR79,658593,661428	NZ_BBLZ01000002.1,604801,675619,UniRef50_A0A140GR79,658593,661428
ERZ919324.6172,0,9380,UniRef50_G9RUL1,921,4200	ERZ919324.6172,0,9380,UniRef50_G9RUL1,921,4200
NZ_JVKV01000093.1,0,34494,UniRef50_A0A140GR79,10266,12507	NZ_JVKV01000093.1,0,34494,UniRef50_A0A140GR79,10266,12507
ENA-OGHU01000083-OGHU01000083.1-metagenome-genome-assembly--contig:-NODE-83-length-53740-cov-7.066555,27770,53740,UniRef50_A0A140GR79,43777,46117	ENA-OGHU01000083-OGHU01000083.1-metagenome-genome-assembly--contig:-NODE-83-length-53740-cov-7.066555,27770,53740,UniRef50_A0A140GR79,43777,46117
NC_013037.1,6936044,6967790,UniRef50_D1YP75,6947529,6950010	NC_013037.1,6936044,6967790,UniRef50_D1YP75,6947529,6950010
NZ_LBIP01000019.1,18596,183110,UniRef50_A0A518C2Q4,122003,124334	NZ_LBIP01000019.1,18596,183110,UniRef50_A0A518C2Q4,122003,124334
ENA|VUAP01000009|VUAP01000009.1,34181,85428,UniRef50_A0A1C2D810,65539,69799	ENA|VUAP01000009|VUAP01000009.1,34181,85428,UniRef50_A0A1C2D810,65539,69799
ENA|VUAP01000009|VUAP01000009.1,34181,85428,UniRef50_A0A1C2D810,65539,69799	ENA|VUAM01000021|VUAM01000021.1,10163,38638,UniRef50_A0A1C2D810,25791,30051
ENA|VUAP01000009|VUAP01000009.1,34181,85428,UniRef50_A0A1C2D810,65539,69799	ENA|NKKZ01000250|NKKZ01000250.1,10688,82877,UniRef50_A0A1C2D810,61391,65651
ENA|VUAP01000009|VUAP01000009.1,34181,85428,UniRef50_A0A1C2D810,65539,69799	NZ_MCJG01000002.1,117922,179817,UniRef50_A0A1C2D810,144336,148596
ENA|UPOH01001421|UPOH01001421.1,0,19219,UniRef50_UPI000E5CDAED,12255,16320	ENA|UPOH01001421|UPOH01001421.1,0,19219,UniRef50_UPI000E5CDAED,12255,16320
ENA|UPOH01001421|UPOH01001421.1,0,19219,UniRef50_UPI000E5CDAED,12255,16320	ENA-OGKO01000020-OGKO01000020.1-metagenome-genome-assembly--contig:-NODE-20-length-114173-cov-52.964397,0,26511,UniRef50_UPI000E5CDAED,11454,15522
ENA|UPOH01001421|UPOH01001421.1,0,19219,UniRef50_UPI000E5CDAED,12255,16320	ERZ916417.18172,70005,98733,UniRef50_UPI000E5CDAED,81078,85146
ENA|UPOH01001421|UPOH01001421.1,0,19219,UniRef50_UPI000E5CDAED,12255,16320	ENA|USUN01000612|USUN01000612.1,0,29023,UniRef50_UPI000E5CDAED,17403,21471
ENA|UPOH01001421|UPOH01001421.1,0,19219,UniRef50_UPI000E5CDAED,12255,16320	ERZ979787.127,0,7599,UniRef50_UPI000E5CDAED,2862,6930
ENA|UPOH01001421|UPOH01001421.1,0,19219,UniRef50_UPI000E5CDAED,12255,16320	ERZ916466.44393,0,24502,UniRef50_UPI000E5CDAED,11285,15353
ENA|UPOH01001421|UPOH01001421.1,0,19219,UniRef50_UPI000E5CDAED,12255,16320	ERZ1106951.848,0,29395,UniRef50_UPI000E5CDAED,12837,16905
ENA|UPOH01001421|UPOH01001421.1,0,19219,UniRef50_UPI000E5CDAED,12255,16320	ENA|UZHM01000074|UZHM01000074.1,40255,69242,UniRef50_UPI000E5CDAED,50906,54974
ENA|UPOH01001421|UPOH01001421.1,0,19219,UniRef50_UPI000E5CDAED,12255,16320	Ga0167502_100042,91387,117966,UniRef50_UPI000E5CDAED,102215,106283
ENA|UPOH01001421|UPOH01001421.1,0,19219,UniRef50_UPI000E5CDAED,12255,16320	ENA|OZSH01000025|OZSH01000025.1,0,23964,UniRef50_UPI000E5CDAED,17882,21950
ENA|UPOH01001421|UPOH01001421.1,0,19219,UniRef50_UPI000E5CDAED,12255,16320	ENA-ORRW01000896-ORRW01000896.1-human-gut-metagenome-genome-assembly--contig:-NODE-896-length-31780-cov-3.377368,0,31780,UniRef50_UPI000E5CDAED,6827,10895
ENA|UPOH01001421|UPOH01001421.1,0,19219,UniRef50_UPI000E5CDAED,12255,16320	ERZ942077.5963,0,24343,UniRef50_UPI000E5CDAED,11458,15526
ENA|UPOH01001421|UPOH01001421.1,0,19219,UniRef50_UPI000E5CDAED,12255,16320	ERZ477172.366-NODE-366-length-40233-cov-3.38536,0,40233,UniRef50_UPI000E5CDAED,19612,23680
ENA|UPOH01001421|UPOH01001421.1,0,19219,UniRef50_UPI000E5CDAED,12255,16320	ENA-OGYU01001708-OGYU01001708.1-human-gut-metagenome-genome-assembly--contig:-NODE-1708-length-15180-cov-57.529190,0,15180,UniRef50_UPI000E5CDAED,2981,7049
ENA|UPOH01001421|UPOH01001421.1,0,19219,UniRef50_UPI000E5CDAED,12255,16320	ENA|ULUN01049855|ULUN01049855.1,0,44116,UniRef50_UPI000E5CDAED,10993,15061
ENA|UPOH01001421|UPOH01001421.1,0,19219,UniRef50_UPI000E5CDAED,12255,16320	ERZ942375.4186,20853,72199,UniRef50_UPI000E5CDAED,34080,38148
ENA|UPOH01001421|UPOH01001421.1,0,19219,UniRef50_UPI000E5CDAED,12255,16320	ENA|UPNS01000033|UPNS01000033.1,0,28105,UniRef50_UPI000E5CDAED,13208,17276
ENA|UPOH01001421|UPOH01001421.1,0,19219,UniRef50_UPI000E5CDAED,12255,16320	ERZ918911.37272,0,28150,UniRef50_UPI000E5CDAED,20868,24936
ENA|UPOH01001421|UPOH01001421.1,0,19219,UniRef50_UPI000E5CDAED,12255,16320	ERZ942060.43042,0,39444,UniRef50_UPI000E5CDAED,9022,13090
ENA|UPOH01001421|UPOH01001421.1,0,19219,UniRef50_UPI000E5CDAED,12255,16320	ERZ919798.58091,53871,95201,UniRef50_UPI000E5CDAED,80525,84593
ENA|UPOH01001421|UPOH01001421.1,0,19219,UniRef50_UPI000E5CDAED,12255,16320	ENA-ORPV01000812-ORPV01000812.1-human-gut-metagenome-genome-assembly--contig:-NODE-812-length-30104-cov-5.473660,0,27842,UniRef50_UPI000E5CDAED,3150,7218
ENA|UPOH01001421|UPOH01001421.1,0,19219,UniRef50_UPI000E5CDAED,12255,16320	ERZ916614.119786,0,30057,UniRef50_UPI000E5CDAED,5365,9433
ENA|UPOH01001421|UPOH01001421.1,0,19219,UniRef50_UPI000E5CDAED,12255,16320	ENA-UABG01000512-UABG01000512.1-human-gut-metagenome-genome-assembly--contig:-NODE-512-length-15982-cov-14.833679,0,15982,UniRef50_UPI000E5CDAED,5514,9582
ENA|UPOH01001421|UPOH01001421.1,0,19219,UniRef50_UPI000E5CDAED,12255,16320	ERZ942301.4343,0,79215,UniRef50_UPI000E5CDAED,12952,17020
ENA|UPOH01001421|UPOH01001421.1,0,19219,UniRef50_UPI000E5CDAED,12255,16320	ERZ477174.94-NODE-94-length-108893-cov-8.22819,0,66752,UniRef50_UPI000E5CDAED,1433,5501
ENA|UPOH01001421|UPOH01001421.1,0,19219,UniRef50_UPI000E5CDAED,12255,16320	ERZ920094.60841,4950,97974,UniRef50_UPI000E5CDAED,67251,71319
ENA|UPOH01001421|UPOH01001421.1,0,19219,UniRef50_UPI000E5CDAED,12255,16320	ERZ917479.11111,5990,98437,UniRef50_UPI000E5CDAED,67714,71782
ENA|UPOH01001421|UPOH01001421.1,0,19219,UniRef50_UPI000E5CDAED,12255,16320	ERZ914753.41484,14363,107214,UniRef50_UPI000E5CDAED,76491,80559
ENA|UPOH01001421|UPOH01001421.1,0,19219,UniRef50_UPI000E5CDAED,12255,16320	ERZ925243.147302,0,73612,UniRef50_UPI000E5CDAED,42889,46957
ENA|UPOH01001421|UPOH01001421.1,0,19219,UniRef50_UPI000E5CDAED,12255,16320	ENA-OLGE01000077-OLGE01000077.1-human-gut-metagenome-genome-assembly--contig:-NODE-77-length-104678-cov-6.901752,78,80049,UniRef50_UPI000E5CDAED,11114,15182
ENA|UPOH01001421|UPOH01001421.1,0,19219,UniRef50_UPI000E5CDAED,12255,16320	ENA|ULWV01044801|ULWV01044801.1,7225,47361,UniRef50_UPI000E5CDAED,18192,22260
ENA|UPOH01001421|UPOH01001421.1,0,19219,UniRef50_UPI000E5CDAED,12255,16320	ENA|UXSO01000141|UXSO01000141.1,0,40823,UniRef50_UPI000E5CDAED,25681,29749
ENA|UPOH01001421|UPOH01001421.1,0,19219,UniRef50_UPI000E5CDAED,12255,16320	ERZ919657.90709,0,98504,UniRef50_UPI000E5CDAED,83468,87536
ENA|UPOH01001421|UPOH01001421.1,0,19219,UniRef50_UPI000E5CDAED,12255,16320	ENA|OGIO01000094|OGIO01000094.1,39725,116431,UniRef50_UPI000E5CDAED,66379,70447
ENA|UPOH01001421|UPOH01001421.1,0,19219,UniRef50_UPI000E5CDAED,12255,16320	ENA|UZNF01000013|UZNF01000013.1,0,72678,UniRef50_UPI000E5CDAED,6885,10953
ENA|UPOH01001421|UPOH01001421.1,0,19219,UniRef50_UPI000E5CDAED,12255,16320	ENA|ORRD01000014|ORRD01000014.1,0,123718,UniRef50_UPI000E5CDAED,25502,29570
ENA|UPOH01001421|UPOH01001421.1,0,19219,UniRef50_UPI000E5CDAED,12255,16320	ENA-USWK01000004-USWK01000004.1-human-gut-metagenome-genome-assembly--contig:-NODE-4-length-115803-cov-18.355745,17935,110849,UniRef50_UPI000E5CDAED,44589,48657
ENA|UPOH01001421|UPOH01001421.1,0,19219,UniRef50_UPI000E5CDAED,12255,16320	ENA|UPOQ01000162|UPOQ01000162.1,0,90761,UniRef50_UPI000E5CDAED,24564,28632
ENA|UPOH01001421|UPOH01001421.1,0,19219,UniRef50_UPI000E5CDAED,12255,16320	ERZ925883.40996,1845,97789,UniRef50_UPI000E5CDAED,67066,71134
ENA|UPOH01001421|UPOH01001421.1,0,19219,UniRef50_UPI000E5CDAED,12255,16320	ERZ942131.20823,8281,86025,UniRef50_UPI000E5CDAED,70475,74543
ENA|UPOH01001421|UPOH01001421.1,0,19219,UniRef50_UPI000E5CDAED,12255,16320	ERZ919525.87246,586,69718,UniRef50_UPI000E5CDAED,61557,65625
ENA|UPOH01001421|UPOH01001421.1,0,19219,UniRef50_UPI000E5CDAED,12255,16320	ERZ826426.194,21638,72984,UniRef50_UPI000E5CDAED,42261,46329
ENA|UPOH01001421|UPOH01001421.1,0,19219,UniRef50_UPI000E5CDAED,12255,16320	ENA|UYCL01000692|UYCL01000692.1,0,39802,UniRef50_UPI000E5CDAED,26574,30642
ENA|UPOH01001421|UPOH01001421.1,0,19219,UniRef50_UPI000E5CDAED,12255,16320	ENA|UXRK01000032|UXRK01000032.1,40865,123781,UniRef50_UPI000E5CDAED,108714,112782
ENA|UPOH01001421|UPOH01001421.1,0,19219,UniRef50_UPI000E5CDAED,12255,16320	Ga0243922_100202,2458,115071,UniRef50_UPI000E5CDAED,101953,106021
ENA|UPOH01001421|UPOH01001421.1,0,19219,UniRef50_UPI000E5CDAED,12255,16320	ERZ825093.806,0,54658,UniRef50_UPI000E5CDAED,28527,32595
ENA|UPOH01001421|UPOH01001421.1,0,19219,UniRef50_UPI000E5CDAED,12255,16320	ERZ914870.41579,10428,117994,UniRef50_UPI000E5CDAED,113024,117092
ENA|UPOH01001421|UPOH01001421.1,0,19219,UniRef50_UPI000E5CDAED,12255,16320	ERZ916230.56246,0,43985,UniRef50_UPI000E5CDAED,29060,33128
ENA|UPOH01001421|UPOH01001421.1,0,19219,UniRef50_UPI000E5CDAED,12255,16320	ERZ851975.1,154400,223689,UniRef50_UPI000E5CDAED,181054,185122
ENA|UPOH01001421|UPOH01001421.1,0,19219,UniRef50_UPI000E5CDAED,12255,16320	ERZ915359.67280,3823,95924,UniRef50_UPI000E5CDAED,65201,69269
ENA|UPOH01001421|UPOH01001421.1,0,19219,UniRef50_UPI000E5CDAED,12255,16320	ENA|UPLI01001856|UPLI01001856.1,0,25910,UniRef50_UPI000E5CDAED,14433,18501
ENA|UPOH01001421|UPOH01001421.1,0,19219,UniRef50_UPI000E5CDAED,12255,16320	Ga0168799_1001212,0,18038,UniRef50_UPI000E5CDAED,1914,5988
ENA|UPOH01001421|UPOH01001421.1,0,19219,UniRef50_UPI000E5CDAED,12255,16320	ERZ920274.24820,0,27774,UniRef50_UPI000E5CDAED,1956,6024
ENA|UPOH01001421|UPOH01001421.1,0,19219,UniRef50_UPI000E5CDAED,12255,16320	ENA-OGXX01000324-OGXX01000324.1-human-gut-metagenome-genome-assembly--contig:-NODE-324-length-53273-cov-4.390545,9807,53273,UniRef50_UPI000E5CDAED,36461,40529
ENA|AACFIY010000012|AACFIY010000012.1,0,45181,UniRef50_Q0P897,42391,44557	ENA|AACFIY010000012|AACFIY010000012.1,0,45181,UniRef50_Q0P897,42391,44557
ENA|AACFIY010000012|AACFIY010000012.1,0,45181,UniRef50_Q0P897,42391,44557	NZ_SYPT01000001.1,684723,781553,UniRef50_Q0P897,685487,687653
ENA|AACFIY010000012|AACFIY010000012.1,0,45181,UniRef50_Q0P897,42391,44557	ENA|AACGGN010000024|AACGGN010000024.1,0,22493,UniRef50_Q0P897,7168,9334
ENA|AACFIY010000012|AACFIY010000012.1,0,45181,UniRef50_Q0P897,42391,44557	ENA|AACEFC010000015|AACEFC010000015.1,835,46440,UniRef50_Q0P897,1450,3616
ENA|AACFIY010000012|AACFIY010000012.1,0,45181,UniRef50_Q0P897,42391,44557	AAJFYJ010000030.1,954,46290,UniRef50_Q0P897,1558,3724
ENA|AACFIY010000012|AACFIY010000012.1,0,45181,UniRef50_Q0P897,42391,44557	AAPEIN010000002.1,153747,201827,UniRef50_Q0P897,154348,156514
ENA|AACFIY010000012|AACFIY010000012.1,0,45181,UniRef50_Q0P897,42391,44557	ENA|AACBWY010000005|AACBWY010000005.1,2236,53925,UniRef50_Q0P897,51155,53321
Ga0264364_01,374268,434979,UniRef50_A0A2P8ALN9,429319,431332	Ga0264364_01,374268,434979,UniRef50_A0A2P8ALN9,429319,431332
ENA|NIVC01000001|NIVC01000001.1,879485,930675,UniRef50_A0A4R4G451,902051,904370	ENA|NIVC01000001|NIVC01000001.1,879485,930675,UniRef50_A0A4R4G451,902051,904370
ENA|JAAHBS010000002|JAAHBS010000002.1,2761110,2815333,UniRef50_A0A3B8QXV4,2782642,2784703	ENA|JAAHBS010000002|JAAHBS010000002.1,2761110,2815333,UniRef50_A0A3B8QXV4,2782642,2784703
ENA|VALJ01000001|VALJ01000001.1,21354610,21405305,UniRef50_A0A2Z4Y7A9,21367028,21369110	ENA|VALJ01000001|VALJ01000001.1,21354610,21405305,UniRef50_A0A2Z4Y7A9,21367028,21369110
ENA|LFJF01002748|LFJF01002748.1,61692,112591,UniRef50_A0A4R4G451,84616,86950	ENA|LFJF01002748|LFJF01002748.1,61692,112591,UniRef50_A0A4R4G451,84616,86950
ENA|LFJF01002748|LFJF01002748.1,61692,112591,UniRef50_A0A4R4G451,84616,86950	ENA|LFJF01009108|LFJF01009108.1,0,18191,UniRef50_A0A4R4G451,7608,9942
APLB01014788.1	APLB01014788.1
ERZ1053142.1,1682,51963,UniRef50_A0A4P8XVS3,48684,51615	ERZ1053142.1,1682,51963,UniRef50_A0A4P8XVS3,48684,51615
ENA|UPPA01002237|UPPA01002237.1,0,9184,UniRef50_E4MSY6,3540,7914	ENA|UPPA01002237|UPPA01002237.1,0,9184,UniRef50_E4MSY6,3540,7914
ERZ922800.80181,0,23823,UniRef50_A0A2H5ZK46,14102,16703	ERZ922800.80181,0,23823,UniRef50_A0A2H5ZK46,14102,16703
ERZ919299.2059,0,26398,UniRef50_A0A316RPF6,4614,8715	ERZ919299.2059,0,26398,UniRef50_A0A316RPF6,4614,8715
ERZ860541.88,12106,62852,UniRef50_R6QHH1,57237,61215	ERZ860541.88,12106,62852,UniRef50_R6QHH1,57237,61215
ERZ860541.88,12106,62852,UniRef50_R6QHH1,57237,61215	ENA|USYX01001657|USYX01001657.1,0,15344,UniRef50_R6QHH1,2558,6425
ERZ860541.88,12106,62852,UniRef50_R6QHH1,57237,61215	ERZ919194.1741,0,18465,UniRef50_R6QHH1,2608,6475
ERZ860541.88,12106,62852,UniRef50_R6QHH1,57237,61215	ENA|UZIY01001433|UZIY01001433.1,0,15185,UniRef50_R6QHH1,8782,12649
ERZ860541.88,12106,62852,UniRef50_R6QHH1,57237,61215	ERZ810506.35,16552,65759,UniRef50_R6QHH1,21541,25543
ERZ860541.88,12106,62852,UniRef50_R6QHH1,57237,61215	ENA-OPVA01000145-OPVA01000145.1-human-gut-metagenome-genome-assembly--contig:-NODE-145-length-65826-cov-10.233918,16220,65826,UniRef50_R6QHH1,21209,25211
ERZ860541.88,12106,62852,UniRef50_R6QHH1,57237,61215	ENA|OXLG01000062|OXLG01000062.1,3632,76329,UniRef50_R6QHH1,8621,12623
ERZ860541.88,12106,62852,UniRef50_R6QHH1,57237,61215	ERZ914625.28475,0,72285,UniRef50_R6QHH1,63293,67295
ERZ860541.88,12106,62852,UniRef50_R6QHH1,57237,61215	ERZ941848.21981,15367,88190,UniRef50_R6QHH1,20357,24359
ERZ860541.88,12106,62852,UniRef50_R6QHH1,57237,61215	ERZ915768.1113,16620,89338,UniRef50_R6QHH1,21609,25611
ERZ860541.88,12106,62852,UniRef50_R6QHH1,57237,61215	ERZ1106915.126,6518,121520,UniRef50_R6QHH1,54491,58493
ERZ860541.88,12106,62852,UniRef50_R6QHH1,57237,61215	ENA|OWDH01000905|OWDH01000905.1,0,26639,UniRef50_R6QHH1,6585,10587
ERZ860541.88,12106,62852,UniRef50_R6QHH1,57237,61215	ERZ918394.46768,0,72285,UniRef50_R6QHH1,63293,67295
ERZ860541.88,12106,62852,UniRef50_R6QHH1,57237,61215	ERZ915574.10468,0,72734,UniRef50_R6QHH1,63742,67744
ERZ860541.88,12106,62852,UniRef50_R6QHH1,57237,61215	ERZ810455.13,6318,98565,UniRef50_R6QHH1,54347,58349
ERZ860541.88,12106,62852,UniRef50_R6QHH1,57237,61215	ERZ917642.77668,0,65647,UniRef50_R6QHH1,27607,31609
ERZ860541.88,12106,62852,UniRef50_R6QHH1,57237,61215	ERZ810282.18,0,92062,UniRef50_R6QHH1,40030,44032
ERZ860541.88,12106,62852,UniRef50_R6QHH1,57237,61215	ERZ917833.22090,0,10061,UniRef50_R6QHH1,871,4864
ERZ860541.88,12106,62852,UniRef50_R6QHH1,57237,61215	ENA|OVZL01000685|OVZL01000685.1,11611,37336,UniRef50_R6QHH1,28218,32211
ERZ860541.88,12106,62852,UniRef50_R6QHH1,57237,61215	ERZ847691.25,10636,36534,UniRef50_R6QHH1,27243,31236
ERZ860541.88,12106,62852,UniRef50_R6QHH1,57237,61215	ERZ917630.11645,0,42600,UniRef50_R6QHH1,33370,37363
ERZ860541.88,12106,62852,UniRef50_R6QHH1,57237,61215	Ga0168816_100102,15755,123337,UniRef50_R6QHH1,57707,61706
ERZ860541.88,12106,62852,UniRef50_R6QHH1,57237,61215	ERZ1106929.174,9042,59980,UniRef50_R6QHH1,45736,49714
ERZ860541.88,12106,62852,UniRef50_R6QHH1,57237,61215	ERZ1034687.1798,0,10417,UniRef50_R6QHH1,5072,9080
ERZ860541.88,12106,62852,UniRef50_R6QHH1,57237,61215	ENA-OPXL01000125-OPXL01000125.1-human-gut-metagenome-genome-assembly--contig:-NODE-125-length-57232-cov-5.278801,16307,57232,UniRef50_R6QHH1,21370,25378
ERZ860541.88,12106,62852,UniRef50_R6QHH1,57237,61215	ERZ839874.607,0,51667,UniRef50_R6QHH1,15794,19772
ERZ860541.88,12106,62852,UniRef50_R6QHH1,57237,61215	ENA-USXD01000309-USXD01000309.1-human-gut-metagenome-genome-assembly--contig:-NODE-309-length-47411-cov-14.747729,0,47411,UniRef50_R6QHH1,15816,19794
ERZ860541.88,12106,62852,UniRef50_R6QHH1,57237,61215	Ga0168799_1000058,12878,160154,UniRef50_R6QHH1,139933,143911
ERZ860541.88,12106,62852,UniRef50_R6QHH1,57237,61215	ERZ916034.52534,9439,78144,UniRef50_R6QHH1,57877,61855
ERZ860541.88,12106,62852,UniRef50_R6QHH1,57237,61215	ERZ919261.36788,0,62333,UniRef50_R6QHH1,16056,20034
ERZ860541.88,12106,62852,UniRef50_R6QHH1,57237,61215	ENA|UBVR01000070|UBVR01000070.1,9231,103159,UniRef50_R6QHH1,57669,61647
ERZ860541.88,12106,62852,UniRef50_R6QHH1,57237,61215	ENA-OURJ01000228-OURJ01000228.1-human-gut-metagenome-genome-assembly--contig:-NODE-228-length-44513-cov-6.17261,0,44513,UniRef50_R6QHH1,1652,5636
ERZ860541.88,12106,62852,UniRef50_R6QHH1,57237,61215	ERZ925887.16187,0,49703,UniRef50_R6QHH1,2785,6769
ERZ860541.88,12106,62852,UniRef50_R6QHH1,57237,61215	ERZ915025.42785,0,41795,UniRef50_R6QHH1,35810,39794
ERZ860541.88,12106,62852,UniRef50_R6QHH1,57237,61215	ENA|UPNQ01000139|UPNQ01000139.1,0,49401,UniRef50_R6QHH1,41587,45571
ERZ860541.88,12106,62852,UniRef50_R6QHH1,57237,61215	ERZ919178.597,1257,52003,UniRef50_R6QHH1,5097,9081
ERZ860541.88,12106,62852,UniRef50_R6QHH1,57237,61215	ENA-OHAE01001157-OHAE01001157.1-human-gut-metagenome-genome-assembly--contig:-NODE-1157-length-21026-cov-13.536407,0,21026,UniRef50_R6QHH1,12053,16037
ERZ860541.88,12106,62852,UniRef50_R6QHH1,57237,61215	ENA|OVFM01000530|OVFM01000530.1,8958,39776,UniRef50_R6QHH1,11727,15711
ERZ860541.88,12106,62852,UniRef50_R6QHH1,57237,61215	ERZ925815.38634,0,33523,UniRef50_R6QHH1,23463,27447
ERZ860541.88,12106,62852,UniRef50_R6QHH1,57237,61215	ERZ920113.73544,0,64259,UniRef50_R6QHH1,36801,40785
ERZ860541.88,12106,62852,UniRef50_R6QHH1,57237,61215	ERZ925135.58103,2802,54880,UniRef50_R6QHH1,45734,49718
ERZ860541.88,12106,62852,UniRef50_R6QHH1,57237,61215	ENA|OGKR01000852|OGKR01000852.1,0,27563,UniRef50_R6QHH1,12042,16026
ERZ860541.88,12106,62852,UniRef50_R6QHH1,57237,61215	ENA|UPLX01000231|UPLX01000231.1,19979,81296,UniRef50_R6QHH1,70626,74610
ERZ860541.88,12106,62852,UniRef50_R6QHH1,57237,61215	Ga0243361_100791,0,22317,UniRef50_R6QHH1,6287,10271
ERZ860541.88,12106,62852,UniRef50_R6QHH1,57237,61215	ENA|OVYN01001496|OVYN01001496.1,0,27110,UniRef50_R6QHH1,11713,15697
ERZ860541.88,12106,62852,UniRef50_R6QHH1,57237,61215	ERZ925859.34174,28577,118894,UniRef50_R6QHH1,111068,115052
ERZ860541.88,12106,62852,UniRef50_R6QHH1,57237,61215	ERZ914866.22276,25466,115784,UniRef50_R6QHH1,107970,111954
ERZ860541.88,12106,62852,UniRef50_R6QHH1,57237,61215	ERZ920106.45495,1310,91621,UniRef50_R6QHH1,5151,9135
ERZ860541.88,12106,62852,UniRef50_R6QHH1,57237,61215	ERZ917535.65081,36235,126553,UniRef50_R6QHH1,118675,122659
ERZ860541.88,12106,62852,UniRef50_R6QHH1,57237,61215	ERZ917490.12002,39139,127999,UniRef50_R6QHH1,120185,124169
ERZ860541.88,12106,62852,UniRef50_R6QHH1,57237,61215	ERZ917276.63833,0,32597,UniRef50_R6QHH1,23462,27446
ERZ860541.88,12106,62852,UniRef50_R6QHH1,57237,61215	ERZ917567.60996,0,32620,UniRef50_R6QHH1,23474,27458
